C5683	微信	1.可以发语音、文字消息、表情、图片、视频。30M流量可以收发上千条语音，省电省流量。 2.朋友圈，跟朋友们分享生活点滴。 3.摇一摇、查看附近的人，世界不再有陌生人。 4.扫一扫，可以扫商品条码、图书封面、CD封面，甚至扫描英文单词来翻译成中文。 5.公众帐号，用微信关注明星、看新闻、设提醒… 6.游戏中心，和朋友们一起玩游戏	http://appstore.huawei.com:80/images/app_defult.png	C2543:QQ同步助手	C9319:QQ	C5373:支付宝	C2682:搜狗输入法	C54626:铃声多多	C3466:酷狗音乐	C10220136:QQ音乐	C104688:腾讯新闻	C36902:WiFi万能钥匙	C10129111:江苏移动掌上营…	C5683:微信	C9319:QQ	C7166:微博	C10085602:花粉俱乐部	C23563:MOMO陌陌	C2543:QQ同步助手	C10154337:易信	C5037:号码百事通	C822:阿里星球	C10397414:QQ空间	
C10608	大众点评	大众点评:-【幸运大比拼】拼手气赢大奖，免费吃喝玩乐，超豪华大礼等你拿！ -【奇葩说之谁是赢家】奇葩说唇枪舌战，意犹未尽？来点评为你支持的观点投票，顺手领个红包赢大奖！ -【火红龙虾节】炎炎夏日，三五好友，不相聚来顿小龙虾不是真朋友！小龙虾，我们走，虾你一跳！300万龙虾券等你抢！ -【最懂你】今天吃什么？去哪吃？怎么吃？“最懂你”频道结合全球消费大	http://appstore.huawei.com:80/images/app_defult.png	C10116109:百度糯米	C6006:蚂蜂窝自由行	C5157:携程旅行	C30591:途牛旅游	C10186504:百度外卖	C262:去哪儿旅行	C10178693:豆瓣	C10289451:饿了么	C10059344:亚马逊购物	C10194368:小红书	C34075:手机淘宝	C10049053:华为商城	C5206:美团	C10608:大众点评	C57804:天猫	C9136:唯品会	C20252:手机京东	C10116109:百度糯米	C10374976:拼多多	C41277:苏宁易购	
C32569	优酷	一次相遇 一段故事 一个全新的开始 优酷 这世界很酷  《大军师司马懿之军师联盟》吴秀波领衔，刘涛、李晨、于和伟、唐艺昕、张钧甯众星飙戏，齐聚三国！ 《楚乔传》热血集结，信仰不灭，6月5日起，上优酷见证楚乔传奇 《火星情报局3》汪涵、薛之谦领衔花样我发现，6月30日起优酷火热上线 《脑大洞开》坐观明星脑洞强者尬	http://appstore.huawei.com:80/images/app_defult.png	C53424:土豆	C10132452:芒果TV	C10523668:韩剧TV	C20960:搜狐视频	C10395198:倩女幽魂	C10319360:AcFun	C10010188:喜马拉雅FM	C7166:微博	C5326:乐视视频	C27990:聚力视频	C10021449:音乐	C2002:爱奇艺	C29156:腾讯视频	C3466:酷狗音乐	C32569:优酷	C20960:搜狐视频	C10220136:QQ音乐	C290:酷我音乐	C10200687:视频•优酷版	C10360236:视频•优酷版	
C27162	华为应用市场	【更新说明】 1、无广告全功能付费应用上线，一次付费，畅玩到底！ 2、闲时更新效率提升，更新应用更及时； 3、新增应用所需权限说明，安全更进一步； 4、新增“应用同步”，多设备间可同步已下载应用； 5、花瓣体系即将下线，请尽快使用剩余花瓣。   华为应用市场 --放心下，畅快玩！ 1、提供新鲜、热辣	http://appstore.huawei.com:80/images/app_defult.png	C10067631:华为会员服务	C10055832:华为云服务（文…	C10132067:华为移动服务	C66323:备份	C10059090:华为游戏中心	C10049053:华为商城	C10057661:Google Play …	C188494: 魔秀桌面	C10315005:华为生活服务	C31346:手机百度	C36902:WiFi万能钥匙	C27162:华为应用市场	C10132067:华为移动服务	C10055832:文件管理	C21976:UC浏览器	C10067631:华为会员服务	C66323:备份	C20679:QQ浏览器	C10059090:华为游戏中心	C10207207:华为云服务	
C10067631	华为会员服务	华为会员服务:原“手机服务”更名为“会员服务”，专注为华为终端用户提供更优质更便捷的在线服务。 激活华为会员，立享精彩权益！ 更新到会员服务最新版本、免费激活会员，立享高级专属售后服务特权、VIP客服热线，海量衣食住行礼包、华为商城优惠券等你抢！ “会员服务”为华为终端用户提供一站式售后服务，集成华为会员、在线寄修、预约维修、在线客服等十多项丰富的在线服	http://appstore.huawei.com:80/images/app_defult.png	C10055832:华为云服务（文…	C10060708:华为钱包安全支…	C66323:备份	C10085602:花粉俱乐部	C10132067:华为移动服务	C10465316:华为众测	C10207207:华为云服务	C10021449:音乐	C54960:文件管理器	C10200687:视频•优酷版	C36902:WiFi万能钥匙	C27162:华为应用市场	C10132067:华为移动服务	C10055832:文件管理	C21976:UC浏览器	C10067631:华为会员服务	C66323:备份	C20679:QQ浏览器	C10059090:华为游戏中心	C10207207:华为云服务	
C104688	腾讯新闻	腾讯新闻是腾讯公司为用户精心打造的一款拥有7x24小时全方位新闻报道的新闻产品，为用户提供高效、优质的资讯服务。是各个电子市场上下载最多，资讯最新最全，浏览最快、最省流量的新闻产品。  【产品特色】 -新闻报道：7×24小时不间断更新，为你带来新闻现场第一手资讯；重大、突发新闻推送，30秒到你手中 -独家栏目：众多独家栏目等你来品味，	http://appstore.huawei.com:80/images/app_defult.png	C2022:搜狐新闻	C19168:凤凰新闻	C57236:今日头条	C10010188:喜马拉雅FM	C10395198:倩女幽魂	C10295678:天天快报	C9147:网易新闻	C43442:新浪新闻	C31975:墨迹天气	C10380135:相册管家	C57236:今日头条	C104688:腾讯新闻	C9147:网易新闻	C2022:搜狐新闻	C179773:爱读掌阅	C19168:凤凰新闻	C149006:塔读文学	C10295678:天天快报	C28837:ZAKER新闻	C10325767:华为阅读	
C9147	网易新闻	Wearfit智能手环应用，搭配智能手环使用可管理您的日常步数，睡眠，生活中能够提醒来电，短信消息，更能为您提供24小时心率和血压测量，给出相关意见及小贴士，为您的健康护航。	http://appstore.huawei.com:80/images/app_defult.png	C28837:ZAKER新闻	C2022:搜狐新闻	C19168:凤凰新闻	C43442:新浪新闻	C10166330:网易邮箱大师	C104688:腾讯新闻	C57236:今日头条	C10178693:豆瓣	C2861:同花顺炒股票	C10047082:知乎	C57236:今日头条	C104688:腾讯新闻	C9147:网易新闻	C2022:搜狐新闻	C179773:爱读掌阅	C19168:凤凰新闻	C149006:塔读文学	C10295678:天天快报	C28837:ZAKER新闻	C10325767:华为阅读	
C20252	手机京东	手机京东:-----多快好省，只为品质生活----- 1.新人大礼：首次购买最高减50元 2. 京东秒杀：正品限时秒，折扣享不停 3. 专享特权：每日多款商品享受手机专享价 4. 正品行货：100％正品行货、全国联保 5. 闪电到货：211限时达、次日达、极速达、夜间配   -----2亿用户的购物首选----- 1.“	http://appstore.huawei.com:80/images/app_defult.png	C10230847:京东金融	C57804:天猫	C41277:苏宁易购	C10059344:亚马逊购物	C48193: 聚美优品 	C9136:唯品会	C8618:当当	C5206:美团	C136900:掌上生活	C10116109:百度糯米	C34075:手机淘宝	C10049053:华为商城	C5206:美团	C10608:大众点评	C57804:天猫	C9136:唯品会	C20252:手机京东	C10116109:百度糯米	C10374976:拼多多	C41277:苏宁易购	
C33455	快手	快手最火热门视频秀 ● 时实更新最火最好玩最in最爆笑的短视频，让你永远看不够 ● 这里有你喜欢的美女、帅哥、明星、大胸、社会摇、鬼步、福利、段子、女神、飙戏、健身、唱歌、猎奇、爆笑…  快手同城，找到你喜欢的人 ● 精准地理位置，了解身边陌生人发生的事 ● 喜欢Ta就发消息给Ta  快手7秒短视频拍摄 	http://appstore.huawei.com:80/images/app_defult.png	C10204517:MIX	C10318669:PicsArt照片…	C188494: 魔秀桌面	C10212948:最右	C10285679:映客直播	C10132507:虎牙直播	C37161:YY	C54626:铃声多多	C10183952:全民K歌	C40238:内涵段子	C6023:美图秀秀	C33455:快手	C178302:美颜相机	C10435311:Faceu激萌	C10154635:美拍	C10520808:天天P图	C2590:相机360	
C9136	唯品会	唯品会精明妈咪囤货季，跨品牌最高满199减60 7月12日早10点准时抢购，母婴好货钜惠来袭 明星大牌各类精选，提前收藏等你来抢！  唯品会，全球精选，正品特卖！ 数千名专业买手精选品牌商品，提供1折起的深度折扣，有了唯品会，从此再也不用担心买不起正品大牌啦！ 1、深度折扣 限时特卖 品类齐全 每天早10点&晚8点上	http://appstore.huawei.com:80/images/app_defult.png	C48193: 聚美优品 	C10216823:途虎养车	C50260:51信用卡管家	C31852:蘑菇街	C19520:美人相机	C10059344:亚马逊购物	C10194368:小红书	C57804:天猫	C20252:手机京东	C10013947:美柚	C34075:手机淘宝	C10049053:华为商城	C5206:美团	C10608:大众点评	C57804:天猫	C9136:唯品会	C20252:手机京东	C10116109:百度糯米	C10374976:拼多多	C41277:苏宁易购	
